name,price,sizes,child_category,scrapped,category,product_id,sub_category,has_similar,colours,similar,images,description,link
,,,,False,,r5e1b,,,,,,,/chitrarekha-pretty-sarees/p/r5e1b
,,,,False,,uvg9i,,,,,,,/satin-silk-saree-with-sequence-blouse-piece/p/uvg9i
,,,,False,,thf87,,,,,,,/alisha-superior-sarees/p/thf87
,,,,False,,uvtpb,,,,,,,/satin-silk-saree-with-sequence-blouse-piece/p/uvtpb
,,,,False,,py2k2,,,,,,,/new-fancy-weight-less-saree-with-matching-blouse/p/py2k2
,,,,False,,tct9v,,,,,,,/vrinda-trendz-all-time-hit-plain-satin-saree/p/tct9v
,,,,False,,os1cw,,,,,,,/alisha-superior-sarees/p/os1cw
,,,,False,,qbsf3,,,,,,,/new-arrival-beautiful-satin-saree-with-silver-sequence-velvet-blouse/p/qbsf3
,,,,False,,uu8h7,,,,,,,/new-design-satin-silk-flower-design-saree/p/uu8h7
,,,,False,,tqr5n,,,,,,,/new-designer-georgette-and-satin-patta-printed-saree-with-blouse/p/tqr5n
,,,,False,,rvxvd,,,,,,,/banita-petite-sarees/p/rvxvd
,,,,False,,tqezb,,,,,,,/saree/p/tqezb
,,,,False,,qwv5j,,,,,,,/myra-voguish-sarees/p/qwv5j
,,,,False,,sn19x,,,,,,,/jivika-graceful-sarees/p/sn19x
,,,,False,,p1bfe,,,,,,,/kashvi-fabulous-sarees/p/p1bfe
,,,,False,,s5tbw,,,,,,,/heavy-satin-silk-digital-print-saree-with-unsteach-blouse-pcs/p/s5tbw
